Probe Name,Annotation,Accession #,NS Probe ID,Class Name,Analyte Type,% Samples above Threshold,20190927_RQ-016723_Control-1_01.RCC,20190927_RQ-016723_Control-2_02.RCC,20190927_RQ-016723_Control-3_03.RCC,20190927_RQ-016723_Control-K-1_07.RCC,20190927_RQ-016723_Control-K-2_08.RCC,20190927_RQ-016723_Control-K-3_09.RCC,20190927_RQ-016723_FHKO-1_04.RCC,20190927_RQ-016723_FHKO-2_05.RCC,20190927_RQ-016723_FHKO-3_06.RCC,20190927_RQ-016723_FHKO-K-1_10.RCC,20190927_RQ-016723_FHKO-K-2_11.RCC,20190927_RQ-016723_FHKO-K-3_12.RCC
,,,,,,,20190927_RQ-016723_Control-1_01.RCC,20190927_RQ-016723_Control-2_02.RCC,20190927_RQ-016723_Control-3_03.RCC,20190927_RQ-016723_Control-K-1_07.RCC,20190927_RQ-016723_Control-K-2_08.RCC,20190927_RQ-016723_Control-K-3_09.RCC,20190927_RQ-016723_FHKO-1_04.RCC,20190927_RQ-016723_FHKO-2_05.RCC,20190927_RQ-016723_FHKO-3_06.RCC,20190927_RQ-016723_FHKO-K-1_10.RCC,20190927_RQ-016723_FHKO-K-2_11.RCC,20190927_RQ-016723_FHKO-K-3_12.RCC
,,,,,,,,,,,,,,,,,,
2810417H13Rik,,NM_026515.2,,Endogenous,mRNA,100.00,117.80,180.88,257.01,27.96,20.78,18.85,292.99,461.95,376.12,13.79,17.68,16.86
2900026A02Rik,,NM_172884.3,,Endogenous,mRNA,100.00,77.08,71.74,81.86,208.27,251.26,222.82,91.21,99.88,94.31,222.23,248.51,280.24
Abcc8,,NM_011510.3,,Endogenous,mRNA,100.00,7.27,4.04,4.76,11.18,2.83,6.86,8.29,9.16,2.25,7.30,6.24,3.21
Acad10,,NM_028037.4,,Endogenous,mRNA,100.00,47.99,28.29,42.83,842.88,954.99,900.71,38.70,43.28,50.52,959.48,981.56,987.66
Acly,,NM_134037.2,,Endogenous,mRNA,100.00,1407.82,1317.68,1264.09,2845.96,2295.38,2148.51,1336.43,1309.26,1340.56,2492.37,2087.89,2135.12
Acod1,,NM_008392.1,,Endogenous,mRNA,100.00,5.82,12.13,12.37,12.58,13.22,8.57,9.67,10.82,11.23,9.73,14.56,6.42
Acot11,,NM_025590.4,,Endogenous,mRNA,100.00,50.90,56.59,58.06,167.74,162.47,161.97,49.75,64.09,75.22,128.96,154.93,167.82
Acot3,,NM_134246.3,,Endogenous,mRNA,100.00,23.27,11.12,5.71,394.18,297.55,200.54,17.97,14.98,12.35,288.74,242.27,221.62
Acox1,,NM_015729.2,,Endogenous,mRNA,100.00,530.84,530.51,508.30,16190.92,18355.51,14298.24,526.56,553.50,507.48,16148.90,15395.06,15508.74
Adam19,,NM_009616.4,,Endogenous,mRNA,100.00,17.45,14.15,19.99,37.74,43.45,32.57,15.20,18.31,20.21,38.93,39.51,24.09
Adam8,,NM_007403.2,,Endogenous,mRNA,100.00,10481.56,9012.57,8822.96,16.77,19.84,23.14,10008.74,10230.21,11679.92,22.71,12.48,23.29
Adamts1,,NM_009621.4,,Endogenous,mRNA,100.00,36.36,38.40,23.80,599.66,709.40,766.16,37.32,31.63,33.68,738.06,626.99,619.10
Adamts12,,NM_175501.2,,Endogenous,mRNA,100.00,7.27,14.15,11.42,58.71,34.01,48.85,16.58,14.15,15.72,31.63,39.51,36.13
