Probe Name,Annotation,Accession #,NS Probe ID,Class Name,Analyte Type,% Samples above Threshold,20190927_RQ-016723_Control-1_01.RCC,20190927_RQ-016723_Control-2_02.RCC,20190927_RQ-016723_Control-3_03.RCC,20190927_RQ-016723_Control-K-1_07.RCC,20190927_RQ-016723_Control-K-2_08.RCC,20190927_RQ-016723_Control-K-3_09.RCC,20190927_RQ-016723_FHKO-1_04.RCC,20190927_RQ-016723_FHKO-2_05.RCC,20190927_RQ-016723_FHKO-3_06.RCC,20190927_RQ-016723_FHKO-K-1_10.RCC,20190927_RQ-016723_FHKO-K-2_11.RCC,20190927_RQ-016723_FHKO-K-3_12.RCC
,,,,,,,20190927_RQ-016723_Control-1_01.RCC,20190927_RQ-016723_Control-2_02.RCC,20190927_RQ-016723_Control-3_03.RCC,20190927_RQ-016723_Control-K-1_07.RCC,20190927_RQ-016723_Control-K-2_08.RCC,20190927_RQ-016723_Control-K-3_09.RCC,20190927_RQ-016723_FHKO-1_04.RCC,20190927_RQ-016723_FHKO-2_05.RCC,20190927_RQ-016723_FHKO-3_06.RCC,20190927_RQ-016723_FHKO-K-1_10.RCC,20190927_RQ-016723_FHKO-K-2_11.RCC,20190927_RQ-016723_FHKO-K-3_12.RCC
,,,,,,,,,,,,,,,,,,
2810417H13Rik,,NM_026515.2,,Endogenous,mRNA,100.00,81.00,179.00,270.00,20.00,22.00,22.00,212.00,555.00,335.00,17.00,17.00,21.00
2900026A02Rik,,NM_172884.3,,Endogenous,mRNA,100.00,53.00,71.00,86.00,149.00,266.00,260.00,66.00,120.00,84.00,274.00,239.00,349.00
Abcc8,,NM_011510.3,,Endogenous,mRNA,100.00,5.00,4.00,5.00,8.00,3.00,8.00,6.00,11.00,2.00,9.00,6.00,4.00
Acad10,,NM_028037.4,,Endogenous,mRNA,100.00,33.00,28.00,45.00,603.00,1011.00,1051.00,28.00,52.00,45.00,1183.00,944.00,1230.00
Acly,,NM_134037.2,,Endogenous,mRNA,100.00,968.00,1304.00,1328.00,2036.00,2430.00,2507.00,967.00,1573.00,1194.00,3073.00,2008.00,2659.00
Acod1,,NM_008392.1,,Endogenous,mRNA,100.00,4.00,12.00,13.00,9.00,14.00,10.00,7.00,13.00,10.00,12.00,14.00,8.00
Acot11,,NM_025590.4,,Endogenous,mRNA,100.00,35.00,56.00,61.00,120.00,172.00,189.00,36.00,77.00,67.00,159.00,149.00,209.00
Acot3,,NM_134246.3,,Endogenous,mRNA,100.00,16.00,11.00,6.00,282.00,315.00,234.00,13.00,18.00,11.00,356.00,233.00,276.00
Acox1,,NM_015729.2,,Endogenous,mRNA,100.00,365.00,525.00,534.00,11583.00,19432.00,16684.00,381.00,665.00,452.00,19911.00,14806.00,19314.00
Adam19,,NM_009616.4,,Endogenous,mRNA,100.00,12.00,14.00,21.00,27.00,46.00,38.00,11.00,22.00,18.00,48.00,38.00,30.00
Adam8,,NM_007403.2,,Endogenous,mRNA,100.00,7207.00,8919.00,9269.00,12.00,21.00,27.00,7242.00,12291.00,10403.00,28.00,12.00,29.00
Adamts1,,NM_009621.4,,Endogenous,mRNA,100.00,25.00,38.00,25.00,429.00,751.00,894.00,27.00,38.00,30.00,910.00,603.00,771.00
Adamts12,,NM_175501.2,,Endogenous,mRNA,100.00,5.00,14.00,12.00,42.00,36.00,57.00,12.00,17.00,14.00,39.00,38.00,45.00
